,equations,Solution
8852,x=1200*(1-65%),420
8853,x=13*30+14,404
8854,x=4+25*[(99-4)/100],27.75
8855,x=14*5%,0.7
8856,x=931/49,19
8857,x=120/0.8*0.75,112.5
8858,x=6*(4-1),18
8859,x=18*6/2,54
8860,x=750*(1-(1/3)-40%),200
8861,x=3200/80%,4000
8862,x=20*15*(10-6),1200
8863,x=200/(1-0.6),500
8864,x=1-(1/8)-(3/8),((1)/(2))
8865,x=(1/12)*4,((1)/(3))
8866,x=24*(1-(3/4)),6
8867,x=3600/(1-10%),4000
8868,x=75/(3/4),100
8869,x=[7.2-(3*0.8)]/0.6,8
8870,x=12/(2/3),18
8871,x=(200*18)/[18*(1-(1/6))]-200,40
8872,x=1-(7/8),((1)/(8))
8873,x=396/(24-15)+77,121
8874,x=800*(1+(1/10)),880
8875,x=21*38+15,813
8876,x=4*25*112,11200
8877,x=13+13*2+11,50
8878,x=80/50%,160
8879,x=(800-80)/16,45
8880,x=60*((1/3)+(2/5)),44
8881,x=300*(2/25),24
8882,x=3.14*1.2*20*1.5,113.04
8883,x=5/8,((5)/(8))
8884,x=9+3,12
8885,x=1/((1/8)/3),24
8886,x=34/[1-((5/12)+30%)],120
8887,x=(168-120)/(1-(3/7)),84
8888,x=108/30%,360
8889,x=10*6,60
8890,x=960/(120/4),32
8891,x=840/(1-(4/7)),1960
8892,x=250/(80%-40%),625
8893,x=500/2000,25%
8894,x=(26+22)/6,8
8895,x=(420-240)/3,60
8896,x=80*125*2,20000
8897,x=4515/7-1155/7,480
8898,x=840/(3/5),1400
8899,x=(15-8)*6,42
8900,x=5000+5000*5.58%*3,5837
8901,x=35/(1-(3/4)-(1/5)),700
8902,x=3.6/3,1.2
8903,x=(15*3+74)/(4+3),17
8904,x=(105+65)*85,14450
8905,x=(2+1)/(1-92.5%)-(2+1),37
8906,x=3.14*2^2*3,37.68
8907,x=(108+48)/12,13
8908,x=1-(5/12)-(1/4),((1)/(3))
8909,x=4*(4-1)/2,6
8910,x=360/450,80%
8911,x=900*(2/9)*(4/5),160
8912,x=1/(1/8)*(3/4),6
8913,x=(200-150)/200,25%
8914,x=100-(75-20),45
8915,x=(111+23*3)/(35-23),15
8916,x=(13-3)/(1-(1/4)-(2/3)),120
8917,x=56/((4)/(2+3+4))/(3/5),210
8918,x=21/(1-25%),28
8919,x=42*(1-(3/7)),24
8920,x=900/60,15
8921,x=(51-1)*10,500
8922,x=12*300/8,450
8923,x=(2700-2500)/2500,8%
8924,x=16+(14-9)/0.5,26
8925,x=30000+30000*3.60%*2*(1-5%),32052
8926,x=160*(5/8)/(5/4),80
8927,x=80*6/8,60
8928,x=850*0.6,510
8929,x=400*(1-75%),100
8930,x=155.4/84,1.85
8931,x=240/4-45,15
8932,x=1/7,((1)/(7))
8933,x=200*(1-5%),190
8934,x=72/8+52*27,1413
8935,x=8/5,1.6
8936,x=5/20,25%
8937,x=62.8/3.14,20
8938,x=(9+6+4+9)/4,7
8939,x=1/10,0.1
8940,x=120/(5*24),1
8941,x=12*4*25,1200
8942,x=450/6,75
8943,x=360/20*(20+15),630
8944,x=28+28*4,140
8945,x=30/2.5+80,92
8946,x=(156+124)/4,70
8947,x=(9/4)*(1/3)+(3/5),((27)/(20))
8948,x=248-179+132,201
8949,x=(3/4)*(1-(1/3)),((1)/(2))
8950,x=96/(1-25%)-96,32
8951,x=200-(75+55),70
8952,x=132*(3+1),528
8953,x=1-(2/9),((7)/(9))
8954,x=25*8+6,206
8955,x=102*(1-(1/3)),68
8956,x=(56+64)/8,15
8957,x=20+20*5.4%*2,22.16
8958,x=(7/9)-(1/9),((2)/(3))
8959,x=0.5*(3.14*4*2),12.56
8960,x=9+9,18
8961,x=120/(1-(1/5)),150
8962,x=120*(1/4)/50%,60
8963,x=7+(7-(1/4))/3,9((1)/(4))
8964,x=25/(5/7)/(7/8),40
8965,x=80*20/8,200
8966,x=372/(4-1)*4,496
8967,x=45*4/3,60
8968,x=25/(1/4)*85%,85
8969,x=(281+119)/8,50
8970,x=6/(1-(1/3))*(1-(1/4)),6.75
8971,x=27/(3/4),36
8972,x=780*(1-(1/5)-(5/12)),299
8973,x=2*4,8
8974,x=(200+100)/(0.9-0.8)*0.9-200,2500
8975,x=200/((5/6)-(3/4)),2400
8976,x=(30+50)*[(50*10+40*10)/(40-30)],7200
8977,x=8000-6387-986,627
8978,x=1700/0.85-1700,300
8979,x=18*24,432
8980,x=(1/12)/(5/8),((2)/(15))
8981,x=(70+570)/20,32
8982,x=2.4/(1.3-1.2),24
8983,x=3.85-1.27-1.78,0.8
8984,x=340*7,2380
8985,x=8000*((2)/(2+3+5)),1600
8986,x=125*3+25,400
8987,x=(380+560)*50,47000
8988,x=80*(1-(3/4)),20
8989,x=26000/(1+(1/12)),24000
8990,x=12*(5*3),180
8991,x=(21-3)/[(1-(1/3))*(1-(1/5))-(1/3)],90
8992,x=60*0.85,51
8993,x=44/(1+(1/10)),40
8994,x=25*90+25*50,3500
8995,x=14/7,2
8996,x=(2008-658)/15,90
8997,x=240/(1/5)*(1/3)-30,370
8998,x=125+213,338
8999,x=23/(1.2-1)+23,138
9000,x=240/40-240/80,3
9001,x=1/(5/8),((8)/(5))
9002,x=48*6/4,72
9003,x=138.60+13.20+138.60,290.4
9004,x=36*40/30,48
9005,x=200/(4/5),250
9006,x=2/(2+8),((1)/(5))
9007,x=4/(1/5),20
9008,x=9/(2+1),3
9009,x=328/8,41
9010,x=5000*2.25%*1*20%,22.5
9011,x=8-45/9,3
9012,x=18*20%+0.35,3.95
9013,x=180/(25+5)+180/(25-5),15
9014,x=30*5/3,50
9015,x=(9/30),((3)/(10))
9016,x=440-280,160
9017,x=15*60-180,720
9018,x=(48+32)*138,11040
9019,x=148*5,740
9020,x=210/3*10,700
9021,x=1200/(6/7)/(5/8),2240
9022,x=(250+350)-(13*26),262
9023,x=12-2-2,8
9024,x=42/(6*3.5),2
9025,x=50*8,400
9026,x=40/(1-60%),100
9027,x=(1-(3/5))/(3/5),((2)/(3))
9028,x=72/18+1,5
9029,x=(265-4)/3-42,45
9030,x=450/(1+(4/5)),250
9031,x=(15*4+30)/(1-(2/5)),150
9032,x=(72+35)*4,428
9033,x=800*(3/4)-50,550
9034,x=60/(1/4)*(1/5),48
9035,x=84/7*100,1200
9036,x=(50*12)/60,10
9037,x=100/((5)/(1+5)),120
9038,x=25*20-360,140
9039,x=15*(1/10)/(4/9),((27)/(8))
9040,x=40*25*(12-10),2000
9041,x=1/(5+2-2),0.2
9042,x=27/[15/(6-1)]+1,10
9043,x=45*2-18,72
9044,x=(48-6)/3+48,62
9045,x=2*50*25,2500
9046,x=30000/2/10,1500
9047,x=(400-388)/400,3%
9048,x=708+96,804
9049,x=320-20-8-20,272
9050,x=(49-46)*2.5,7.5
9051,x=50*2,100
9052,x=20/[1-(2/5)-(1-(2/5))*(1/3)],50
9053,x=(1/4)+(2/4),((3)/(4))
9054,x=360/(840/14),6
9055,x=(800-250)/(250/5),11
9056,x=48*10/8,60
9057,x=(1+25)*[(25-1)/2+1]/2*4,676
9058,x=20*80/(120-80)*120,4800
9059,x=25*(30+12),1050
9060,x=(200*0.6-106.2)/(4+0.6),3
9061,x=150000/(3/5),250000
9062,x=(560+860)/(12+8),71
9063,x=72/(552-72),15%
9064,x=(48/(4/5)+48)*(1+(1/3)),144
9065,x=1/6,((1)/(6))
9066,x=13-3,10
9067,x=(195/13*16-195)/(16-11),9
9068,x=(18-4+6)/(1-(2/5)-(1/3)),75
9069,x=12*8,96
9070,x=(50-2)/50,((24)/(25))
9071,x=(100-80)/100,20%
9072,x=(8000-4500)/5,700
9073,x=18/5*3,10.8
9074,x=24*10,240
9075,x=30000-10000,20000
9076,x=(50-2)/50,96%
9077,x=(48+27)+10,85
9078,x=132+132,264
9079,x=90/(1-(1/4)),120
9080,x=40*5/4,50
9081,x=90/(3/4)*(1/3),40
9082,x=8/(40/57),11.4
9083,x=120/(1+(1/5))+120,220
9084,x=(15/10)*(10-4),9
9085,x=20*(1-(1/5)),16
9086,x=50*(2/5)/(4/5),25
9087,x=(800-325)/5,95
9088,x=160*24/192,20
9089,x=18/1.5-(1/2)*0.2,11.9
9090,x=40/(2/5),100
9091,x=1080/(3*12),30
9092,x=(1/5)+(1/10)+(1/5),((1)/(2))
9093,x=0.8*30/(0.8-0.05)-30,2
9094,x=80*(1-(1/5)-25%),44
9095,x=22.5/(10-1),2.5
9096,x=16/(1/(1/4)-1/(9/20)),9
9097,x=(60-30)/(3/5),50
9098,x=9.6/(1+(3/5)),6
9099,x=135/[(1-25%)*(1-40%)],300
9100,x=(78-12+78)*2,288
9101,x=300*(1/10)+1,31
9102,x=1000/(3+2)*6,1200
9103,x=3*506,1518
9104,x=3000*1%+3000,3030
9105,x=300/15,20
9106,x=21-5,16
9107,x=430*(1-0.9),43
9108,x=6/(3-1)*(5-1),12
9109,x=18/(1-(1/3)),27
9110,x=300/6,50
9111,x=2010*2011-2009*2012,2
9112,x=8-1.72,6.28
9113,x=7/(7+3),((7)/(10))
9114,x=200*(1-0.9),20
9115,x=10-(2.4*10/3),2
9116,x=81/3/0.9,30
9117,x=26*3-36,42
9118,x=(40-10)/1.2+3,28
9119,x=36*(3/4)/(3/10),90
9120,x=(60+100)*1/(100-60),4
9121,x=96/(24/1.5),6
9122,x=35*3-5,100
9123,x=24/(4-1),8
9124,x=680-100/(1+25%),600
9125,x=9*25/(9-4),45
9126,x=1/(1/8+1/10),((40)/(9))
9127,x=(20+4)/(1-(1/2)-(1/3)),144
9128,x=1500*(1-(1/10)),1350
9129,x=(1300-60*5)/50,20
9130,x=105*3.2/4.2,80
9131,x=(570-250)/8,40
9132,x=15/(1-(5/6)*(3/4))*((5/6)*(3/4)),25
9133,x=85/(1/2),170
9134,x=288/4*12+288,1152
9135,x=(7/12)-(9/20)+(11/30)-(13/42)+(15/56)-(17/72),((2)/(9))
9136,x=(1080-12*48)/12,42
9137,x=175/(4+3),25
9138,x=30/(1-(5/6)),180
9139,x=(6*0.8-0.3)/9,0.5
9140,x=(1+(1/11)-1)/(1+(1/11)),((1)/(12))
9141,x=4/(2/13),26
9142,x=76*23+24*23,2300
9143,x=210/(40%-25%),1400
9144,x=(664-52)/(3+2+1),102
9145,x=1-(2/3)/(1-(1/4)),((1)/(9))
9146,x=540/(1+(1/5)),450
9147,x=51/80,((51)/(80))
9148,x=8600*15%,1290
9149,x=6/0.2*1.8,54
9150,x=5*(5-1)/2,10
9151,x=160/2,80
9152,x=80/(120+80),40%
9153,x=(600/12+400)/90,5
9154,x=(1/4)+(1/6)+(1/4),((2)/(3))
9155,x=10*(1+500),5010
9156,x=1200*(4/5)*(1/3),320
9157,x=60*5/4,75
9158,x=6/(1-0.95),120
9159,x=20000*(1+10%),22000
9160,x=16*8+42,170
9161,x=540-(24*26*540)/(30*26),108
9162,x=258/6,43
9163,x=(87.9-39.2)/6,8((7)/(60))
9164,x=9/((2)/(2+145)),661.5
9165,x=36/[(4+8)*(3/8)-4]*(8+4),864
9166,x=3.14*2^2*1.8/(3.14*5^2)+15,15.288
9167,x=500-(80+200-40),260
9168,x=200/(4/5)+200,450
9169,x=360-360/(1+80%)*(1+20%),120
9170,x=2.5/((1/3)-(1/4)),30
9171,x=100*(1-0.85),15
9172,x=56*(1-(1/8)),49
9173,x=(122+121)/9,27
9174,x=(48+24)/9,8
9175,x=75*(8/15)/(10/3),12
9176,x=1250*(1-20%),1000
9177,x=200*(1-96%),8
9178,x=120*(1+(3/4)),210
9179,x=(63-28)+63/7,44
9180,x=((4/3)-(15/36)+(9/20)-(7/12))-(11/30)+(13/42),((61)/(84))
9181,x=367+233,600
9182,x=15*(4/5),12
9183,x=6/((1/5)-16%),150
9184,x=1-(1/5)-(3/10),((1)/(2))
9185,x=10+3+1+1,15
9186,x=5/0.01,500
9187,x=28+26-10+2,46
9188,x=(1200+160)/80%,1700
9189,x=70/((2/5)+(2/5)+(1/10)),77((7)/(9))
9190,x=800*0.9,720
9191,x=3^2*5,45
9192,x=525/3-90,85
9193,x=(3/2)-(2-(3/2)),1
9194,x=900/(1-20%),1125
9195,x=48*(1+(1/6)),56
9196,x=112*(1+25%),140
9197,x=12*0.2/0.3,8
9198,x=1-8%,92%
9199,x=8000+8000*2.25%*1,8180
9200,x=40*0.9/(1+20%),30
9201,x=45-45*80%,9
9202,x=960/12/8,10
9203,x=(970-42)/16,58
9204,x=(30+4+4+2)/2,20
9205,x=102%-65%,37%
9206,x=22/((2)/(2+5)),77
9207,x=(890-14*25)/18,30
9208,x=600/(65+55),5
9209,x=80*6/4,120
9210,x=(128-52)*45,3420
9211,x=(218+12)/2,115
9212,x=3.2*300/(3.2-0.2)-300,20
9213,x=30/(3/4)*(4/5),32
9214,x=10.08/3.6,2.8
9215,x=8*8*8*3.6,1843.2
9216,x=60/(1-25%)*25%,20
9217,x=871-299,572
9218,x=(7.5-0.65*4)/7,0.7
9219,x=(800+1700)/(5/6),3000
9220,x=2.4*3.2+2.4,10.08
9221,x=12/((1/3)-(1/4)),144
9222,x=23*15*9,3105
9223,x=630/6-630/9,35
9224,x=10*(1/4),2.5
9225,x=28/5*0.5,2.8
9226,x=(320/4)*(4+3),560
9227,x=15/(3/4)/(4/5),25
9228,x=(82*50%-6)/7,5
9229,x=720/16-588/14,3
9230,x=12*17%,2.04
9231,x=4*3*16,192
9232,x=(14*36+346)/(14+11),34
9233,x=6000*(2/5),2400
9234,x=(250-15*10)/5,20
9235,x=(357.6-4*25.4)/8,32
9236,x=2012-1,2011
9237,x=(4/9)/3,((4)/(27))
9238,x=(3800-800)*14%,420
9239,x=432/(432/16-9)-16,8
9240,x=(1-(2/3))/((2/3)/(3/4)),((3)/(8))
9241,x=(100-7)/3,31
9242,x=25*(3/5),15
9243,x=54.6-31.4+0.96/0.6,24.8
9244,x=3*960-2500,380
9245,x=120*(1/6)+10,30
9246,x=(1200-800)*5%,20
9247,x=1500/60%,2500
9248,x=180/(4/3)-60,75
9249,x=500*0.8/(1+25%),320
9250,x=234/6,39
9251,x=11034-8844.43,2189.57
9252,x=400*3,1200
9253,x=1200/(1-(1/7))+1200,2600
9254,x=76/(2/15)*(4/19),120
9255,x=68*(4+5),612
9256,x=200*0.8*0.9,144
9257,x=2.4*(1-(1/4))*(2/3),1.2
9258,x=108*15,1620
9259,x=7200/9-7200/12,200
9260,x=68*5/(5-1),85
9261,x=9*3+9,36
9262,x=100*(1/5)/(1/4),80
9263,x=(50-40)/40,25%
9264,x=140/(180+140),((7)/(16))
9265,x=30/6,5
9266,x=120*(3/4)-10,80
9267,x=1/(1-(1/5))-1,((1)/(4))
9268,x=350/(35-28),50
9269,x=1000+1000/2*3,2500
9270,x=600*((3/10)+(1/6)),280
9271,x=56+128,184
9272,x=(999-699)/6,50
9273,x=(23040-14400)/3,2880
9274,x=40/(5/8)*(1/4),16
9275,x=(323+265)/6,98
9276,x=1/(1/3),3
9277,x=8/(32+8),20%
9278,x=27.6*15,414
9279,x=18*2-26+18,28
9280,x=(60+60-12)*5,540
9281,x=(5-3)*2+8,12
9282,x=480/3.2,150
9283,x=(42-24)/3,6
9284,x=50*(1-2%),49
9285,x=120*3+120,480
9286,x=424/(110+102),2
9287,x=900*3,2700
9288,x=390/6*18,1170
9289,x=54*(1/6),9
9290,x=3*6,18
9291,x=45/1.5+1,31
9292,x=3000-3000*20%/40%,1500
9293,x=48*12*6,3456
9294,x=(150-60)*8/60,12
9295,x=684/76,9
9296,x=324*(1-(1/3)),216
9297,x=120/(3*2),20
9298,x=135/(20%+25%),300
9299,x=42*3/(42+21),2
9300,x=160/(200-160),4
9301,x=20.96*25%+20.96,26.2
9302,x=12/(3-1)*(6-1),30
9303,x=(9/10)/3,((3)/(10))
9304,x=(2*3*5*7*11*13*17*19)/(38*51*30*31),1
9305,x=(248-114)/2,67
9306,x=8/(4/7)-8,6
9307,x=12*36/9,48
9308,x=5/[(5/11)/(1-(5/11))]*4.5,27
9309,x=200*(4/5),160
9310,x=1072/4*3+20,824
9311,x=138+175+37,350
9312,x=(1200+120)/1200,110%
9313,x=42*5-36*5,30
9314,x=(46+74)/4,30
9315,x=180/(108/3),5
9316,x=30/(2/5),75
9317,x=1/(1+60%),62.5%
9318,x=200-188,12
9319,x=25+93-5,113
9320,x=20/(1-(3/4)),80
9321,x=0.87*2,1.74
9322,x=(25*28-50)/10,65
9323,x=1-30%,70%
9324,x=60/(340+60),15%
9325,x=1200*((3)/(3+5)),450
9326,x=((1/4)-(1/5))/(1/4),20%
9327,x=150/(5/20),600
9328,x=202*((100)/(1+100)),200
9329,x=50.18/38.6,1.3
9330,x=(15+5)*(15*2/5),120
9331,x=3.7-1.2*3,0.1
9332,x=30000*3.6%*5*(1-5%),5130
9333,x=360*(7/9)/(1+(1/3)),210
9334,x=16/(5-1)*(8-1),28
9335,x=120+120/(1/10),1320
9336,x=10/((1/2)-25%),40
9337,x=5*7+65,100
9338,x=40/10*9,36
9339,x=60*6/(5*5),14.4
9340,x=45/(1/4)*(4/15),48
9341,x=120/(4/3)*(5/6),75
9342,x=240*(1-(1/3)-(1/4)),100
9343,x=(36*17-36*3)/(17-3-2)-36,6
9344,x=2.6*2.6/2,3.38
9345,x=(97+89)/6,31
9346,x=(100*10+99*5+97*7+96*6+100*2)/30,98
9347,x=80*((5-3)/(5)),32
9348,x=40*5/(1-(4/5)),1000
9349,x=3*5*4,60
9350,x=(3+5)/2,4
9351,x=2400/(1+(1/5)),2000
9352,x=(48.5+14.5)+14.5,77.5
9353,x=(1/25)*65,((13)/(5))
9354,x=[(3/5)+(2/5)*(1-(3/8))]*20,17
9355,x=12/(2/5),30
9356,x=400/2500,16%
9357,x=(100-80)/(85-80),4
9358,x=432/12*26,936
9359,x=20*(3/4),15
9360,x=(50+30)*2,160
9361,x=120/3-75/3,15
9362,x=(5.5*70)/5-70,7
9363,x=1-(3/7),((4)/(7))
9364,x=180*(1+(5/9)),280
9365,x=14-(27-14),1
9366,x=2800*(1-0.5%),2786
9367,x=(7000-5000)/5000,40%
9368,x=5*4,20
9369,x=54000/(12000/5/24*18)-5,25
9370,x=10-(4/5),9((1)/(5))
9371,x=197*198-196*199,2
9372,x=25.7+(25.7-1.04),50.36
9373,x=(86+86+18)*2,380
9374,x=15/10*(10-4),9
9375,x=(36-9)/(1-(2/5))*(2/5),18
9376,x=(350+480)-260,570
9377,x=3600/(1-20%),4500
9378,x=(360/40)-(100-95),4
9379,x=2*(1/4),((1)/(2))
9380,x=25*1.2,30
9381,x=0.16*2.5/0.25,1.6
9382,x=8-6/2,5
9383,x=5*2+5+1,16
9384,x=8/0.5,16
9385,x=810/(3*6),45
9386,x=60*(2/3)/(4/9),90
9387,x=300*(1+20%),360
9388,x=(199-69)/5,26
9389,x=40*(2/5)/(4/5),20
9390,x=(45+35)*8,640
9391,x=60*(1-(1/3)-(1/4)-(1/5)),13
9392,x=(8*3.3-6*3.2)/2,3.6
9393,x=(820-80*2)/(80+85),4
9394,x=1200/80%,1500
9395,x=40*(1-8%)/(1-20%)-40,6
9396,x=120/3+60,100
9397,x=36/(1-0.7),120
9398,x=42*(4/7)/((6)/(6+5))-42,2
9399,x=3/(3+60+10),((3)/(73))
9400,x=2520/(2520/18+70),12
9401,x=1-(1/5)-(1/4),((11)/(20))
9402,x=72/6,12
9403,x=753-169,584
9404,x=250/(5/3)*(3/10),45
9405,x=150*0.8/(1+20%),100
9406,x=(57-1)*2+5*57+200,597
9407,x=(5/12)/(3/4),((5)/(9))
9408,x=(2/3),((72)/(108))
9409,x=(4/11)*(3/2)+(4/11),((10)/(11))
9410,x=850-283+158,725
9411,x=60/(45%-15%),200
9412,x=600/(2/3)+600,1500
9413,x=9*109,981
9414,x=1680*5%,84
9415,x=(320+480)/(320/4),10
9416,x=(5/6)*6,5
9417,x=15*150+40,2290
9418,x=(2/27)*(5*9),((10)/(3))
9419,x=(4-1)*7,21
9420,x=450/(3/5),750
9421,x=2.4*2.4/3.2,1.8
9422,x=48/(3/4)*(1/2),32
9423,x=25.2/18*(18*2),50.4
9424,x=123*5+2,617
9425,x=10.2-(6/5),9
9426,x=(4/3)/4,((1)/(3))
9427,x=200/(1/5),1000
9428,x=35*(1-60%),14
9429,x=224/4/7,8
9430,x=55/11,5
9431,x=12*(4/3),16
9432,x=480/(1+20%),400
9433,x=1/(1/8+(1/5)/2),((40)/(9))
9434,x=639/(25-16),71
9435,x=4*3,12
9436,x=(150-25)*8,1000
9437,x=(3/5)/(2/5),((3)/(2))
9438,x=12*10*0.4,48
9439,x=120/(4/9),270
9440,x=52*20+65*20,2340
9441,x=2100-95*13,865
9442,x=3000/20-3000/25,30
9443,x=75*20+25*20,2000
9444,x=40*(5/8)/(5/6),30
9445,x=12*4,48
9446,x=(3/15)+(1/15),((4)/(15))
9447,x=3000/15,200
9448,x=32*23-308/14,714
9449,x=288/12*36+288,1152
9450,x=27.5*2.6+27.5,99
9451,x=300*(1-95%),15
9452,x=485/5+485,582
9453,x=13/40,((13)/(40))
9454,x=500-106*4,76
9455,x=1-(1/9)-(4/11),((52)/(99))
9456,x=2.25-0.2-0.65,1.4
9457,x=(2320-400)/160,12
9458,x=(50-18)/4,8
9459,x=15.9*3,47.7
9460,x=120/(1-0.7),400
9461,x=75/(3/5)+75,200
9462,x=1364/22+9,71
9463,x=225/((1/5)+25%),500
9464,x=80/(50/5),8
9465,x=18/(1+(1/5)),15
9466,x=21/(1-30%),30
9467,x=49*104,5096
9468,x=(72+120)/(1-(1/3)),288
9469,x=(4.3-0.6)/2.5,1.48
9470,x=(50-3.5*2)/5,8.6
9471,x=376+385+391+380+377+389+383+374+366+378,3799
9472,x=20000*2.67%*1*(1-20%),427.2
9473,x=35*(5/7),25
9474,x=1792/32+12*23,332
9475,x=1000-96*8,232
9476,x=(1200-240)/(80*2-80),12
9477,x=15+6,21
9478,x=7*8+5,61
9479,x=(1/5)+(1/6),((11)/(30))
9480,x=18*10/15,12
9481,x=12/(3-1),6
9482,x=1000/(1-50%),2000
9483,x=96/(8/5),60
9484,x=76+(76*3-16),288
9485,x=0.25*47+10.15,21.9
9486,x=120*3+20,380
9487,x=5/20,25%
9488,x=637/(182/4),14
9489,x=40*(3/8)*(2/5),6
9490,x=27*3-5,76
9491,x=30/(1-0.85),200
9492,x=27*(4/9)*(2/3),8
9493,x=(98+112)*(1-(2/7)),150
9494,x=135/(1-(2/5)),225
9495,x=(250*20/16)/250,125%
9496,x=1128/(1-6%),1200
9497,x=0.085*(99+1),8.5
9498,x=6000/30+50,250
9499,x=739*9-6138/3,4605
9500,x=(72+24)/8,12
9501,x=625-176-235,214
9502,x=20/(2-1.5)*1.5,60
9503,x=9899+1,9900
9504,x=4350*(1-40%),2610
9505,x=(10-6.8)/4,0.8
9506,x=23.5*(1+20%),28.2
9507,x=(22+8)/(2+1),10
9508,x=(58+34)/4,23
9509,x=(850-28)/3,274
9510,x=(378+356)-597,137
9511,x=(28+2)/1.5+28,48
9512,x=36*(1-(7/9)),8
9513,x=(5*1.5+0.3)/3,2.6
9514,x=130/(35%+30%)-130,70
9515,x=(56-28)*142,3976
9516,x=5100-2895,2205
9517,x=195/5,39
9518,x=33/(1-45%),60
9519,x=(3*2/2)*4,12
9520,x=2.5*(1+12%),2.8
9521,x=7*8,56
9522,x=(60*8)/(60+20),6
9523,x=1080*(1-10%),972
9524,x=(20-5)/(3/7),35
9525,x=35.64-14.36+35.64,56.92
9526,x=36/(6-4),18
9527,x=1.2*(1-20%)-0.2,0.76
9528,x=270/3*15,1350
9529,x=120-120*60%,48
9530,x=120*6/180,4
9531,x=90/(3/4)*3+90,450
9532,x=78/6*8,104
9533,x=120/(120/20+1.5),16
9534,x=(27-2)*2,50
9535,x=1.8+1.5,3.3
9536,x=43*(6+5),473
9537,x=2/20,((1)/(10))
9538,x=25*(14-1),325
9539,x=3.14*1.2*2*100,753.6
9540,x=50*30*2.4/8,450
9541,x=150/(1+(1/4)),120
9542,x=300-17*8,164
9543,x=(80-5)/3,25
9544,x=1920/(1920/96-4),120
9545,x=114/(25%+35%),190
9546,x=(1650+1100-2500)*5%,12.5
9547,x=1200/(5/6),1440
9548,x=36/51,((12)/(17))
9549,x=322/3.5,92
9550,x=192/8/(1/15),360
9551,x=97+198+199+200+201+202+203+204,1504
9552,x=2.5*(1+20%),3
9553,x=12*5+7,67
9554,x=147/(1-30%),210
9555,x=20*30*30,18000
9556,x=630/4.2-70,80
9557,x=(10-8)/10,20%
9558,x=136*2*3-70,746
9559,x=5*20.4/(5-2),34
9560,x=(800-226)/82,7
9561,x=2000-12,1988
9562,x=135*8/(8-2),180
9563,x=(200+40)/200,120%
9564,x=30/65,((6)/(13))
9565,x=120/(1-(7/12))*(7/12)/3,56
9566,x=240*2+120,600
9567,x=693/(70+56),5.5
9568,x=(4950-3500)*3%,43.5
9569,x=21/40,((21)/(40))
9570,x=180/(10-1),20
9571,x=75*(1+(4/5)),135
9572,x=45*9-45,360
9573,x=1100*(2/5),440
9574,x=36-(25+23-15),3
9575,x=300*45%,135
9576,x=220/(40%+15%),400
9577,x=50/(200+50),20%
9578,x=20*25-315,185
9579,x=25.5+(25.5*2-1.5),75
9580,x=0.5^3,0.125
9581,x=120/60%-120,80
9582,x=(1/6)+(1/4),((5)/(12))
9583,x=10.8/0.9,12
9584,x=14*2/4,7
9585,x=(640-240)/80+3,8
9586,x=12.6/(3-1)*(6-1),31.5
9587,x=640/(4/45),7200
9588,x=5*42/3,70
9589,x=(35-5*3)/5,4
9590,x=(4-3)/4,25%
9591,x=8*6+56,104
9592,x=(60*22-60*15)/(60+10),6
9593,x=(4.5*4-1.8)/1.2,13.5
9594,x=15.3-(24.72-15.3),5.88
9595,x=(130+220)/(2+3),70
9596,x=(1-(5/8))/(5/8),((3)/(5))
9597,x=30/(1-(2/5)-(2/5)),150
9598,x=900/(1-(2/5)),1500
9599,x=5*24*6,720
9600,x=36/(1-(5/8)),96
9601,x=(1+1)/(1/6+1/12),8
9602,x=10*15,150
9603,x=(0.5*1000-449)/(8+0.5),6
9604,x=1500/(1500/60+5),50
9605,x=120*(30-5)/30,100
9606,x=19*240+50,4610
9607,x=48*12-48,528
9608,x=130/(1-10%-(1/4)),200
9609,x=300*(1+60%),480
9610,x=5*90/4.5,100
9611,x=360/(1+20%),300
9612,x=(2500-1600)*5%,45
9613,x=2150*(1+(1/10)),2365
9614,x=(7500-240*8)/20,279
9615,x=63/(15%+20%),180
9616,x=30/60%*20%,10
9617,x=21/((3/4)-(2/5)),60
9618,x=12*6+3+12,87
9619,x=12*8*28,2688
9620,x=480/40-480/80,6
9621,x=20*0.8*600,9600
9622,x=50/25%*20%,40
9623,x=(4/5)/(3/4)*(3/8),((2)/(5))
9624,x=85*0.8,68
9625,x=3.14*8*10,251.2
9626,x=1620/9-105,75
9627,x=20/(20+60),25%
9628,x=450*15+450,7200
9629,x=500*(1-43%),285
9630,x=20-13.5,6.5
9631,x=12/(1-25%),16
9632,x=4.8*6*(1/3),9.6
9633,x=(30-3.9)/1.8,14.5
9634,x=23*12+12,288
9635,x=207.2+389.7-157.6-109.1,330.2
9636,x=2020202*333-3030303*222,0
9637,x=33.6/14,2.4
9638,x=(54-24)*(2/3)+24,44
9639,x=975+280-348,907
9640,x=150-95-48,7
9641,x=30/(1-20%),37.5
9642,x=(2000*5-9190)/(40+5),18
9643,x=7+8+1,16
9644,x=(5-4)/4,((1)/(4))
9645,x=50+1,51
9646,x=(2+1)/30%+2,12
9647,x=(11-1)*5,50
9648,x=20*75*2,3000
9649,x=(6000-5000)/5000,20%
9650,x=0.79*24,18.96
9651,x=(16/2)/(21.5/4.3),1.6
9652,x=140*2.7/(140+10),2.52
9653,x=(5.7-3)/9,0.3
